sep=,
DeviceTag:,DEMO6_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.179 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 468368743, 0.25736767, -0.21043038, 0.72455263, -0.6037439, 0.03353577, -0.10673272, 0.048882484
2, 468385410, 0.25714517, -0.21011308, 0.72454864, -0.6039543, 0.15531938, -0.0909577, 0.026604652
3, 468402077, 0.2570959, -0.20995936, 0.7245365, -0.6040432, 0.08073668, -0.15537561, -0.008479118
4, 468418744, 0.2571173, -0.20990677, 0.72453815, -0.60405034, 0.141304, -0.1641264, 0.016451836
5, 468435411, 0.25705892, -0.2098369, 0.72460085, -0.6040243, 0.20506687, -0.0754689, 0.049889565
6, 468452078, 0.25699323, -0.20981047, 0.7246868, -0.6039583, 0.11359957, -0.051431, 0.06005001
7, 468468745, 0.25689062, -0.20975316, 0.72476876, -0.60392356, 0.035770454, -0.038591944, 0.058361053
8, 468485412, 0.2567912, -0.20964763, 0.72484493, -0.603911, 0.009526011, -0.017680405, 0.077970505
9, 468502079, 0.25682217, -0.20965256, 0.7248721, -0.60386366, 0.022654044, -0.0070684855, 0.072945595
10, 468518746, 0.25696152, -0.2097373, 0.72484666, -0.6038054, 0.10630991, 0.00795544, 0.030742645
11, 468535413, 0.25719255, -0.20995049, 0.72478944, -0.60370165, 0.05854173, -0.04209274, 0.042808533
12, 468552080, 0.25741452, -0.2101666, 0.72475153, -0.60357726, 0.13839744, -0.023856822, 0.045942307
13, 468568747, 0.25761965, -0.21039975, 0.7247057, -0.6034637, 0.14557466, -0.051702652, 0.042372704
14, 468585414, 0.2577299, -0.21058041, 0.7246978, -0.6033632, 0.050662674, -0.09131465, 0.017988205
15, 468602081, 0.25778335, -0.21071023, 0.72472054, -0.6032677, 0.12867786, -0.043389507, -8.983612E-4
16, 468618748, 0.25789174, -0.21091121, 0.72472745, -0.6031429, 0.09882156, -0.03126446, 0.04758072
17, 468635415, 0.2580622, -0.21117043, 0.72471595, -0.60299313, 0.05722524, -0.022700088, 0.0680418
18, 468652082, 0.25820023, -0.21139738, 0.7246979, -0.602876, 0.024663314, 0.025599638, 0.08020592
19, 468668749, 0.25839826, -0.2116649, 0.72464025, -0.60276663, 0.044966783, 0.050074056, 0.07473755
20, 468685416, 0.25855654, -0.21188164, 0.72457707, -0.60269856, 0.0035138472, 0.0067077354, 0.06661701
21, 468702083, 0.258726, -0.21204032, 0.72450143, -0.60266095, 0.022867946, -0.0075434227, 0.029880524
22, 468718750, 0.25890964, -0.21220565, 0.72442085, -0.6026207, 0.045734998, -0.058280893, 0.011180878
23, 468735417, 0.2591042, -0.2124018, 0.7243405, -0.6025645, 0.102979906, -0.07955192, 3.299713E-4
24, 468752084, 0.25925002, -0.21255516, 0.7242831, -0.60251665, 0.096690476, -0.12774213, 0.027262688
25, 468768751, 0.25926894, -0.21262975, 0.7242795, -0.6024866, 0.09667483, -0.10029672, 0.04336834
26, 468785418, 0.25926545, -0.21266824, 0.72428864, -0.6024633, 0.06260888, -0.089745454, 0.06872845
27, 468802085, 0.25923166, -0.21267988, 0.72430396, -0.60245544, 0.042308208, -0.0816982, 0.053473473
28, 468818752, 0.25925672, -0.21272458, 0.72431725, -0.602413, 0.040060002, -0.08089934, 0.04353714
29, 468835419, 0.25925285, -0.21274838, 0.72432804, -0.60239327, 0.02914419, -0.07564617, 0.026468277
30, 468852086, 0.25917032, -0.21267182, 0.72435766, -0.60242015, 0.023700196, -0.04624835, 0.03651142
31, 468868753, 0.2591111, -0.21260057, 0.72438806, -0.60243434, 0.07506001, -0.01424233, 0.0746479
32, 468885420, 0.25904253, -0.21250294, 0.7244116, -0.60247, 0.04647315, -0.02718781, 0.04106903
33, 468902087, 0.2590182, -0.21246243, 0.7244267, -0.60247666, 0.05692104, -0.06594928, 0.051057816
34, 468918754, 0.2589572, -0.21237859, 0.7244486, -0.6025062, 0.073234916, -0.060700726, 0.03903961
35, 468935421, 0.25890672, -0.2123335, 0.72447234, -0.60251534, 0.07692724, -0.078715086, 0.0025434494
36, 468952088, 0.25885198, -0.21230473, 0.7245105, -0.60250294, 0.11220808, -0.084713146, 0.0048570633
37, 468968755, 0.25882164, -0.2123392, 0.72455674, -0.60244805, 0.12533456, -0.06439973, 0.01809597
38, 468985422, 0.2587853, -0.21238363, 0.7246245, -0.60236645, 0.11445171, -0.07860825, 0.0037374496
39, 469002089, 0.25877267, -0.2124834, 0.7247017, -0.6022439, 0.065448396, -0.09019111, 0.00504303
40, 469018756, 0.25874013, -0.21254641, 0.7247916, -0.60212755, 0.022025079, -0.068273544, 0.059221268
41, 469035423, 0.25873035, -0.2126147, 0.7248605, -0.6020247, 0.016004309, -0.009583007, 0.10094452
42, 469052090, 0.25876394, -0.21272443, 0.7249023, -0.6019212, 0.0488929, 0.076320425, 0.078988075
43, 469068757, 0.25887418, -0.21285622, 0.72489756, -0.6018328, 0.01489021, 0.057360437, 0.10719395
44, 469085424, 0.25895247, -0.21290426, 0.72488046, -0.6018027, -0.041376717, -0.0050537675, 0.040198326
45, 469102091, 0.2590301, -0.21293688, 0.7248545, -0.6017889, 0.04086532, -0.02489476, 0.07895088
46, 469118758, 0.25906447, -0.21290264, 0.72483003, -0.60181576, 0.06307424, -0.09813666, 0.07639122
47, 469135425, 0.25912473, -0.21294646, 0.7248077, -0.6018013, 0.17748035, -0.063516796, 0.09477806
48, 469152092, 0.25922126, -0.2130664, 0.72479385, -0.6017338, 0.18850714, -0.06892111, 0.06980991
49, 469168759, 0.2591999, -0.21311295, 0.7248341, -0.6016781, 0.009676994, -0.18525533, 0.02743721
50, 469185426, 0.25918284, -0.21316892, 0.7248707, -0.60162145, 0.09783397, -0.08752588, -0.0025901794
51, 469202093, 0.25907382, -0.21314481, 0.7249484, -0.6015834, 0.045758244, -0.1539041, -0.012341499
52, 469218760, 0.25890675, -0.21307458, 0.7250767, -0.6015257, 0.017597621, -0.22132543, -0.0022087097
53, 469235427, 0.2584401, -0.21274523, 0.7252917, -0.60158366, 0.10664373, -0.19303855, 0.039639473
54, 469252094, 0.25791728, -0.21241313, 0.7255498, -0.6016143, 0.26464236, -0.094663605, 0.036930084
55, 469268761, 0.2574795, -0.2123048, 0.72582597, -0.6015068, 0.20872858, -0.20752032, 0.030964851
56, 469285428, 0.2568962, -0.21209988, 0.7261841, -0.6013963, 0.1438117, -0.13625269, 0.005522728
57, 469302095, 0.25641382, -0.21204585, 0.7265292, -0.6012045, 0.19488676, -0.029577134, -0.004770279
58, 469318762, 0.25606772, -0.21216063, 0.7268325, -0.600945, 0.11396926, 0.033109702, 0.055763245
59, 469335429, 0.2556144, -0.21211344, 0.7271493, -0.6007713, -0.06967379, -0.008169119, 0.108802795
60, 469352096, 0.2551231, -0.21198553, 0.72742534, -0.60069114, -0.08309116, 0.07013118, 0.0988636
61, 469368763, 0.2547241, -0.21182947, 0.72762364, -0.60067534, -0.058394883, 0.1453194, 0.08165264
62, 469385430, 0.25442344, -0.21167119, 0.7277349, -0.6007237, -0.16527006, 0.11835894, 0.08997631
63, 469402097, 0.2542225, -0.21149942, 0.72777647, -0.60081905, -0.07332097, 0.08266872, 0.10411835
64, 469418764, 0.25422007, -0.21144989, 0.72772384, -0.6009012, 0.030211575, 0.028000893, 0.17144775
65, 469435431, 0.25428286, -0.21141057, 0.72763526, -0.6009957, 0.059358783, 0.015118137, 0.106604576
66, 469452098, 0.25437495, -0.21138085, 0.7275322, -0.6010917, 0.047861055, -0.014098583, 0.08694744
67, 469468765, 0.25452954, -0.21141735, 0.7274008, -0.60117245, 0.13287722, 0.008010564, 0.062942505
68, 469485432, 0.25481027, -0.21159485, 0.72722703, -0.60120124, 0.086173855, -0.008376762, 0.034863472
69, 469502099, 0.2551542, -0.21181476, 0.7270327, -0.6012133, 0.05373039, -0.060745623, 0.0046110153
70, 469518766, 0.25554538, -0.21208586, 0.7268258, -0.6012018, 0.056155395, -0.04073736, 0.061318398
71, 469535433, 0.25592825, -0.21234964, 0.72661495, -0.6012006, 0.11065858, -0.032906108, 0.054840088
72, 469552100, 0.25636172, -0.21268575, 0.7263982, -0.60115886, 0.11432744, -0.02887469, 0.060334206
73, 469568767, 0.25668326, -0.21292552, 0.7262127, -0.601161, 0.003095878, -0.105163686, 0.056397438
74, 469585434, 0.2570108, -0.21316011, 0.72602236, -0.6011675, 0.09419909, -0.035508666, 0.014687538
75, 469602101, 0.25732154, -0.21340868, 0.72584116, -0.6011654, 0.046171073, -0.11167993, 0.06123829
76, 469618768, 0.25754017, -0.21354142, 0.7256892, -0.6012082, 0.047581773, -0.122045815, 0.006576538
77, 469635435, 0.2576573, -0.21362072, 0.72556895, -0.6012748, 0.07033081, -0.11629155, 0.03822899
78, 469652102, 0.25767967, -0.21360385, 0.72549707, -0.601358, 0.10270275, -0.061671138, 0.025434494
79, 469668769, 0.25772542, -0.21364023, 0.7254167, -0.6014226, 0.07697619, -0.09283222, 0.07577419
80, 469685436, 0.25772318, -0.213638, 0.72535294, -0.60150117, 0.07819969, -0.11781516, 0.019938469
81, 469702103, 0.2576364, -0.21355549, 0.7253414, -0.60158175, 0.109034315, -0.12109946, 0.0020856857
82, 469718770, 0.25750527, -0.2134921, 0.7253473, -0.60165334, 0.108915515, -0.094803326, -0.006790161
83, 469735437, 0.2573495, -0.21341053, 0.72537404, -0.60171646, 0.10062799, -0.08465438, 0.018024445
84, 469752104, 0.25720412, -0.2133589, 0.7254189, -0.6017428, 0.07511645, -0.06343181, -0.007341385
85, 469768771, 0.25702426, -0.21326768, 0.72547793, -0.6017809, 0.058676735, -0.08038568, 0.011663437
86, 469785438, 0.25687668, -0.21321504, 0.72552794, -0.6018022, 0.054313295, -0.054306727, 0.0457201
87, 469802105, 0.25678575, -0.21320036, 0.7255734, -0.6017913, 0.035629977, -0.018826943, 0.031467438
88, 469818772, 0.25672084, -0.2131596, 0.725603, -0.6017978, 0.060151808, 0.020622954, 0.042142868
89, 469835439, 0.2567023, -0.2131539, 0.7256042, -0.60180634, 0.060821563, 0.013549132, 0.033020973
90, 469852106, 0.2567657, -0.21321847, 0.7255746, -0.6017921, 0.04000044, -0.019212643, 0.053585052
91, 469868773, 0.25683573, -0.21326976, 0.72554064, -0.60178494, 0.033722293, -0.027258663, 0.0646534
92, 469885440, 0.2569267, -0.21331453, 0.7254815, -0.6018015, 0.04640207, -0.024064383, 0.048493385
93, 469902107, 0.25702524, -0.2133579, 0.7254131, -0.6018265, 0.037601583, -0.006518001, 0.047733307
94, 469918774, 0.25712988, -0.21340209, 0.72532725, -0.6018697, 0.036995754, -0.028275898, 0.055212975
95, 469935441, 0.25723654, -0.213445, 0.7252565, -0.601894, 0.12797692, -0.014499034, 0.05504799
96, 469952108, 0.25737083, -0.21353123, 0.7251698, -0.6019106, 0.07623245, -0.044143222, 0.05559635
97, 469968775, 0.25746128, -0.21356736, 0.7251027, -0.60193974, 0.049214758, -0.078187905, 0.02946186
98, 469985442, 0.25751036, -0.21358168, 0.7250549, -0.6019715, 0.046852004, -0.1326009, 0.020885468
99, 470002109, 0.25745866, -0.21350868, 0.72504634, -0.6020298, 0.08096388, -0.13143925, 0.05674267
100, 470018776, 0.25732547, -0.21339452, 0.7250901, -0.60207456, 0.1320852, -0.11784425, 0.025772095
