sep=,
DeviceTag:,DEMO6_0,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.176 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 468352076, 0.7518793, 0.0756159, -0.64062136, 0.13627553, -0.032498337, 0.31905088, 0.041657448
2, 468368743, 0.75189465, 0.0751524, -0.6407557, 0.13581565, -0.016286941, 0.25957766, 0.06576538
3, 468385410, 0.7519465, 0.07471311, -0.64085627, 0.13529465, -0.026341002, 0.16420133, 0.09425259
4, 468402077, 0.7520576, 0.07429201, -0.64089805, 0.13470939, -0.0035440214, 0.10807019, 0.10034466
5, 468418744, 0.75220245, 0.07392767, -0.64088154, 0.13418049, 0.0015578853, 0.07205851, 0.098742485
6, 468435411, 0.75237143, 0.07354456, -0.6408268, 0.1337032, 0.006800605, -0.055700935, 0.07868481
7, 468452078, 0.7524729, 0.07325742, -0.64080137, 0.13341144, 0.014826508, -0.0102328705, 0.047966003
8, 468468745, 0.75255674, 0.07301241, -0.6407807, 0.13317144, 0.020763459, 0.07672194, 0.04142475
9, 468485412, 0.7526233, 0.07286844, -0.64075834, 0.13298163, -0.026631122, 0.13182034, 0.083758354
10, 468502079, 0.7526998, 0.07278997, -0.64070415, 0.13285275, -0.04457787, 0.11113774, 0.092876434
11, 468518746, 0.75278056, 0.072736464, -0.64064, 0.13273296, -0.054016825, 0.07484476, 0.07641506
12, 468535413, 0.7528644, 0.07272157, -0.6405589, 0.1326574, -0.03644647, 0.08056106, 0.06040573
13, 468552080, 0.7529558, 0.072743595, -0.64044636, 0.13267072, -0.030252032, 0.100823455, 0.037802696
14, 468568747, 0.75300056, 0.07283135, -0.64036787, 0.132747, -0.08302523, 0.106869034, -0.0092868805
15, 468585414, 0.753006, 0.07295929, -0.6403232, 0.13286126, -0.040819723, 0.12598878, 0.016472816
16, 468602081, 0.7530235, 0.073109135, -0.6402671, 0.13295034, -0.051475927, 0.10850811, 0.036826134
17, 468618748, 0.7530287, 0.073259294, -0.64022577, 0.13303766, -0.07216831, 0.12734717, 0.07225418
18, 468635415, 0.7530468, 0.073440075, -0.64015436, 0.13317862, -0.055568896, 0.18447246, 0.11906624
19, 468652082, 0.7530929, 0.07356086, -0.64006287, 0.13329066, -0.053326614, 0.200606, 0.1722107
20, 468668749, 0.753109, 0.07370124, -0.6400105, 0.13337392, -0.0655036, 0.17774689, 0.095853806
21, 468685416, 0.7531301, 0.07379762, -0.6399628, 0.13343024, -0.03140804, 0.15173826, 0.061527252
22, 468702083, 0.7531164, 0.074010104, -0.639919, 0.13359961, -0.04651573, 0.093800284, 0.04755497
23, 468718750, 0.7530966, 0.07412651, -0.63992274, 0.13362935, -0.061339553, 0.085804, 0.009782791
24, 468735417, 0.75304306, 0.07422808, -0.63996774, 0.13365902, -0.062489305, 0.13699986, -0.00988102
25, 468752084, 0.7530001, 0.07430318, -0.63999707, 0.1337185, -0.12441536, 0.15054938, 0.0028448105
26, 468768751, 0.75295097, 0.07434749, -0.64004403, 0.13374561, -0.13232683, 0.17285402, 0.050837517
27, 468785418, 0.7529304, 0.07434581, -0.6400737, 0.13371992, -0.07983436, 0.20264378, 0.08752632
28, 468802085, 0.7529219, 0.074285775, -0.64010966, 0.13362984, -0.09349234, 0.19549806, 0.09964275
29, 468818752, 0.7529287, 0.0742183, -0.6401315, 0.13352455, -0.079140574, 0.18483403, 0.07839966
30, 468835419, 0.75295365, 0.07411953, -0.64014477, 0.13337488, -0.050947096, 0.19730684, 0.10090828
