sep=,
DeviceTag:,DEMO6_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.178 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 468368743, 0.27783108, -0.6543981, 0.3789628, 0.5924199, 0.047137316, 0.07380632, -0.020783424
2, 468385410, 0.27803713, -0.65394324, 0.37950245, 0.59248006, -0.06792849, -0.111789666, -0.052827835
3, 468402077, 0.2778797, -0.65373224, 0.37969214, 0.59266514, -0.033080924, -0.11428061, -0.11165714
4, 468418744, 0.2776433, -0.6536676, 0.3796898, 0.5928487, -0.011670282, 0.09330593, -0.04818344
5, 468435411, 0.27744263, -0.6536645, 0.3795691, 0.5930235, 0.09213908, 0.1794486, 0.008591652
6, 468452078, 0.27733308, -0.6536726, 0.37950516, 0.59310687, 0.06532021, 0.21324387, -0.01977253
7, 468468745, 0.2772537, -0.653674, 0.37950128, 0.5931447, -0.026381122, 0.14588165, -0.034677505
8, 468485412, 0.2771737, -0.65363824, 0.3795255, 0.5932059, -0.16550386, 0.08540899, -0.0036668777
9, 468502079, 0.2769367, -0.65368336, 0.37936723, 0.5933681, -0.20770903, 0.057639185, -0.02659893
10, 468518746, 0.2766985, -0.6537695, 0.37911874, 0.5935432, -0.16881117, 0.08390576, -0.058894157
11, 468535413, 0.27628615, -0.65396875, 0.37871072, 0.5937762, -0.08591123, 0.12818457, -0.057494164
12, 468552080, 0.27584225, -0.6542317, 0.37828356, 0.59396535, -0.046315685, 0.20877585, -0.041578293
13, 468568747, 0.2754662, -0.6544788, 0.37792325, 0.594097, 0.029651117, 0.19530919, -0.050209045
14, 468585414, 0.2751689, -0.6547249, 0.37759703, 0.594171, 0.08829834, 0.20790191, -0.04240799
15, 468602081, 0.27494884, -0.6549797, 0.3773039, 0.594178, 0.08386195, 0.19713004, -0.066370964
16, 468618748, 0.27484685, -0.65514696, 0.37708372, 0.5941808, -0.03533226, 0.14307712, -0.007633209
17, 468635415, 0.27466378, -0.6553654, 0.376787, 0.5942126, -0.10249499, 0.11819521, -0.014735222
18, 468652082, 0.27449483, -0.6555425, 0.37648696, 0.59428567, -0.13074502, 0.16646262, 0.0074920654
19, 468668749, 0.27438366, -0.65563846, 0.3763028, 0.59434783, -0.12809527, 0.18251923, 0.0257864
20, 468685416, 0.2742018, -0.6556928, 0.37608874, 0.5945073, -0.055289954, 0.13452731, -0.018876076
21, 468702083, 0.2740019, -0.6557549, 0.37590763, 0.5946454, -0.026974326, 0.14361535, -0.04788494
22, 468718750, 0.27370185, -0.65585566, 0.37562186, 0.5948529, 0.010116196, 0.1232969, -0.059711456
23, 468735417, 0.27354228, -0.6558996, 0.3754992, 0.5949555, -0.009779809, 0.1401035, -0.08787918
24, 468752084, 0.27334055, -0.6559969, 0.37528223, 0.5950777, 0.05908143, 0.16719364, -0.050992012
25, 468768751, 0.2732365, -0.6560459, 0.37513497, 0.5951643, 0.12821507, 0.14272644, -0.018375397
26, 468785418, 0.27318743, -0.6560885, 0.3750833, 0.5951726, 0.06536871, 0.16837734, -0.01606369
27, 468802085, 0.2731626, -0.65609515, 0.37509727, 0.59516776, 0.036646403, 0.10627393, -0.008782387
28, 468818752, 0.27317137, -0.6560645, 0.37518248, 0.595144, 2.796147E-4, 0.106680386, -0.018073082
29, 468835419, 0.27324823, -0.65599453, 0.37534076, 0.595086, -0.033680275, 0.12497883, -0.07252884
