sep=,
DeviceTag:,DEMO6_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.174 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
1, 468368743, 0.37157845, 0.5834737, 0.47620624, -0.54287887, -0.05084875, -0.15883613, -0.07056141
2, 468385410, 0.37150553, 0.58360344, 0.47596037, -0.54300493, -0.06365403, -0.076213, -0.087073326
3, 468402077, 0.37140688, 0.583774, 0.4757101, -0.5431082, -0.06924934, 0.016284483, -0.07327938
4, 468418744, 0.3713041, 0.5839703, 0.47548562, -0.54316413, -0.05214837, -0.05903022, -0.027989388
5, 468435411, 0.37123942, 0.584104, 0.4753437, -0.5431887, 0.0027853067, -0.16751984, 0.03556347
6, 468452078, 0.3712495, 0.58414894, 0.47532395, -0.54315066, 0.07496278, -0.20060265, 0.015758514
7, 468468745, 0.37129888, 0.5841421, 0.47536722, -0.54308635, 0.061513558, -0.18966326, 0.0042276382
8, 468485412, 0.3713864, 0.5841317, 0.47546142, -0.5429554, 0.035906464, -0.09677798, -0.072439194
9, 468502079, 0.37155986, 0.5841209, 0.47565892, -0.54267514, 0.05307047, -0.023387725, -0.085585594
10, 468518746, 0.37175846, 0.58412206, 0.4759445, -0.54228765, 0.04243997, -0.04306491, -0.048810005
11, 468535413, 0.371958, 0.58411574, 0.47626883, -0.54187244, 0.019133938, -0.10291542, -0.0015611649
12, 468552080, 0.37215573, 0.5840743, 0.47660828, -0.541483, -0.045624692, -0.1051662, 0.01625824
13, 468568747, 0.3724227, 0.58400244, 0.47693798, -0.5410864, 0.021655276, -0.053534035, -0.016906738
14, 468585414, 0.37267622, 0.5839168, 0.47727907, -0.5407035, -0.012822044, -0.06328568, -0.027568817
15, 468602081, 0.37288335, 0.58386195, 0.47758284, -0.5403514, -0.051771414, -0.061771605, -0.060364723
16, 468618748, 0.37300602, 0.58382636, 0.4778532, -0.54006606, -0.093770504, -0.068739176, 0.0151901245
17, 468635415, 0.37310943, 0.58381844, 0.47809365, -0.5397903, -0.13838693, -0.122127704, 0.019119263
18, 468652082, 0.37318528, 0.583831, 0.47825497, -0.5395815, -0.16047527, -0.12730783, 0.030540466
19, 468668749, 0.3732619, 0.5838308, 0.4784093, -0.5393917, -0.100342676, -0.21092828, 0.03529644
20, 468685416, 0.3734368, 0.5837255, 0.4786196, -0.53919816, -0.024516242, -0.17442705, 0.019676208
21, 468702083, 0.37355393, 0.58364594, 0.47880077, -0.5390422, -0.063954994, -0.114657454, -0.055574417
22, 468718750, 0.37368608, 0.5835384, 0.4790054, -0.5388852, -0.060274515, -0.10485328, -0.04399681
23, 468735417, 0.37381563, 0.58341837, 0.47920772, -0.5387455, -0.12532786, -0.09861705, -0.04178238
24, 468752084, 0.3738284, 0.583385, 0.47930104, -0.53868973, -0.10768429, -0.12260557, -0.025981903
25, 468768751, 0.3738628, 0.58336323, 0.47938162, -0.53861773, -0.037966248, -0.12127165, 0.004135132
26, 468785418, 0.37392238, 0.5833715, 0.47942483, -0.53852886, -0.13753222, -0.1427964, 0.0033273697
27, 468802085, 0.37394452, 0.58343476, 0.4793711, -0.5384928, -0.17228244, -0.12145739, 0.01546669
28, 468818752, 0.37386608, 0.58357, 0.47924185, -0.53851575, -0.135148, -0.09923752, -0.0014801025
29, 468835419, 0.37377062, 0.58369637, 0.4791329, -0.538542, -0.16914633, -0.19547974, -0.0030145645
30, 468852086, 0.37369728, 0.5837989, 0.47901633, -0.5385855, -0.19594543, -0.1774438, -0.010133743
31, 468868753, 0.37362385, 0.5838876, 0.4788827, -0.53865904, -0.15918683, -0.14115983, -0.005381584
32, 468885420, 0.37354097, 0.5839572, 0.47873884, -0.5387689, -0.14763355, -0.113932155, -0.039800644
33, 468902087, 0.37341037, 0.5840433, 0.47860855, -0.5388819, 0.014752526, -0.10608864, -0.045829773
34, 468918754, 0.37328887, 0.58414084, 0.47850016, -0.5389567, 0.055739436, -0.081905656, -0.03573227
35, 468935421, 0.37315074, 0.58429086, 0.47836304, -0.5390113, 0.074036434, -0.114905775, -0.046850204
36, 468952088, 0.37306824, 0.5844483, 0.47825533, -0.5389935, 0.09419406, -0.11575334, -0.05039692
37, 468968755, 0.37299788, 0.58464015, 0.4781422, -0.5389343, 0.0641984, -0.073181495, -0.07127094
38, 468985422, 0.3728855, 0.5848604, 0.47802478, -0.5388773, 0.040574756, -0.08492084, -0.044386864
39, 469002089, 0.37275454, 0.58503145, 0.4779782, -0.53882354, -0.06971011, -0.094843924, 0.004593849
40, 469018756, 0.37255847, 0.58514917, 0.47800353, -0.5388088, -0.13796672, -0.11021089, 0.03374386
41, 469035423, 0.37228134, 0.5851812, 0.47807217, -0.5389048, -0.1518404, -0.14080623, 0.017198563
42, 469052090, 0.37198502, 0.5851235, 0.47820163, -0.53905725, -0.074009836, -0.09727038, 0.0104494095
43, 469068757, 0.37168315, 0.58501244, 0.47836772, -0.5392386, 0.07140233, -0.06854382, -0.040875435
44, 469085424, 0.3714045, 0.5849174, 0.47853836, -0.5393823, 0.059015803, -0.04998465, -0.046182632
45, 469102091, 0.37107706, 0.58496374, 0.47858447, -0.53951645, 0.07594356, 0.0342176, -0.08850384
46, 469118758, 0.370746, 0.5851433, 0.4785405, -0.53958845, 0.016765594, -0.053950887, -0.02719593
47, 469135425, 0.37053752, 0.58538485, 0.4784057, -0.53958917, -0.045411687, -0.18866974, -0.054763794
48, 469152092, 0.37043458, 0.58566844, 0.4782482, -0.53949165, -0.10134714, -0.18717824, 0.0032129288
49, 469168759, 0.37047112, 0.5859716, 0.478044, -0.53931826, -0.1785541, -0.23283657, 0.07209873
50, 469185426, 0.3704769, 0.5862971, 0.47777718, -0.53919697, -0.35385588, -0.25478688, 0.05926895
51, 469202093, 0.37056288, 0.5864, 0.47767827, -0.53911346, -0.3242622, -0.15662022, 0.027200699
52, 469218760, 0.37061694, 0.5864099, 0.47759336, -0.53914094, -0.10474208, -0.16128382, 1.4400482E-4
53, 469235427, 0.37075078, 0.5863196, 0.47768033, -0.53906995, -0.04049507, -0.19162391, 0.0023899078
54, 469252094, 0.37078065, 0.5863246, 0.47761866, -0.53909874, 0.025012776, 0.02946549, 0.019360542
55, 469268761, 0.3708419, 0.58638203, 0.47744295, -0.5391499, 0.07622105, -0.03669412, 0.023114204
56, 469285428, 0.37091774, 0.5864626, 0.4770291, -0.53937626, -0.062810384, -0.08382652, 0.016496658
57, 469302095, 0.3709175, 0.5866209, 0.47649446, -0.53967655, -0.03378566, 0.05419139, -0.087221146
58, 469318762, 0.3706684, 0.58703184, 0.4758174, -0.5399982, -0.048820816, 0.05593881, -0.12155819
59, 469335429, 0.3704717, 0.58743244, 0.47514033, -0.5402936, -0.21808438, -0.18776451, -0.018864632
60, 469352096, 0.370368, 0.58773726, 0.4745255, -0.54057354, -0.23970088, -0.17779495, 0.025474548
61, 469368763, 0.3702544, 0.5879786, 0.4740161, -0.5408357, -0.289167, -0.30177802, 0.023722649
62, 469385430, 0.3702389, 0.5880362, 0.4737184, -0.5410448, -0.2829047, -0.27067062, 0.035945892
63, 469402097, 0.37020665, 0.5880357, 0.47347334, -0.5412818, -0.22313064, -0.11462102, 0.027508736
64, 469418764, 0.37018552, 0.5879705, 0.4733416, -0.54148215, -0.15223323, -0.14000426, 0.051437378
