sep=,
DeviceTag:,DEMO6_4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.9.1,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-02-09 22:14:52.177 -0600,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
51, 469218760, 0.38943663, 0.40960047, 0.6412108, 0.5190589, -0.15030129, -0.004174663, 0.03578186
52, 469235427, 0.3895571, 0.40973964, 0.64111704, 0.5189746, -0.0283743, 0.009860274, 0.03810215
53, 469252094, 0.38962176, 0.4098323, 0.6410679, 0.5189134, 0.04660625, 0.056152713, 0.045827866
54, 469268761, 0.38963854, 0.40989506, 0.64106977, 0.51884896, 0.025383025, 0.057905726, 0.037223816
55, 469285428, 0.38953802, 0.40984246, 0.6411722, 0.5188396, 0.004174775, 0.0013761693, 0.023342133
56, 469302095, 0.38971287, 0.41015002, 0.6410859, 0.51857156, -0.008352903, 0.031375185, -0.033637047
57, 469318762, 0.38984612, 0.41042534, 0.6410448, 0.51830417, -0.060857885, 0.11231336, -0.010587692
58, 469335429, 0.38989386, 0.41057214, 0.64106566, 0.5181262, -0.15332006, 0.0073213903, 0.031028748
59, 469352096, 0.38999704, 0.41074443, 0.6410226, 0.5179653, -0.19859506, -0.13907166, 0.02187252
60, 469368763, 0.39015186, 0.4108574, 0.64094955, 0.5178497, -0.20683867, -0.095399015, 0.07754135
61, 469385430, 0.3903693, 0.4109751, 0.64078873, 0.51779157, -0.24876411, -0.02985105, 0.04898262
62, 469402097, 0.39054415, 0.4109789, 0.64064497, 0.5178343, -0.18140624, -0.050877023, 0.0768013
63, 469418764, 0.39085534, 0.41110137, 0.64039755, 0.5178084, -0.067842886, -0.009047134, 0.097001076
64, 469435431, 0.3911463, 0.4111915, 0.64015114, 0.5178217, -0.069846235, 0.040304303, 0.064863205
65, 469452098, 0.39136788, 0.41118523, 0.63997555, 0.5178762, 4.760826E-5, 0.13253726, 0.035684586
66, 469468765, 0.39141083, 0.41102973, 0.6399387, 0.51801294, 0.021288268, 0.17053615, -0.02235794
67, 469485432, 0.3913002, 0.41076145, 0.64004356, 0.5181797, 0.11696545, 0.122492366, -0.083951
68, 469502099, 0.39110893, 0.41050345, 0.64021814, 0.5183131, 0.09350888, 0.17997777, -0.08433151
69, 469518766, 0.39068422, 0.41006857, 0.6405856, 0.5185236, 0.067055896, 0.15629043, -0.031042099
70, 469535433, 0.39025036, 0.40962848, 0.6409822, 0.5187079, -0.010704483, 0.0043138, 0.025814056
71, 469552100, 0.3898564, 0.4092499, 0.6413411, 0.5188593, -0.12243168, 0.01687601, 0.020653725
72, 469568767, 0.38953394, 0.40889508, 0.64163285, 0.51902056, -0.18477994, -0.054405734, 0.027488708
73, 469585434, 0.3892963, 0.40857944, 0.6418624, 0.5191635, -0.18709531, -0.06900314, 0.037651062
74, 469602101, 0.3890918, 0.40824968, 0.6420579, 0.51933444, -0.16856632, -0.03452817, 0.07393551
